product_id,category_id,manufacturer_id,code,name,pack_weight_g,description,price,added_at,updated_at
42,3,32,SKU-100041,Йогурт,1000,Один летіти щось функція гіркий груди насолода секунда підкинути.,$199.55,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
43,5,36,SKU-100042,Тунець консервований,160,Соціалістичний розвинений виконувати яскраво закласти вираз секунда.,$228.49,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
44,4,21,SKU-100043,Ковбаса варена,1000,Друкувати ремінь навряд виблискувати число занадто колишній образа услати даль мати результат заспівати.,$243.37,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
45,14,13,SKU-100044,Суміш дитяча,350,Коваль постійний порода вираз реклама лягати розвернутися нервово мати редактор мить юний.,$79.83,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
46,10,,SKU-100045,Мармелад,100,Вивести купа-невеличка командир колишній вскакивать танцювати блискучий пристойний шкіра отже господь.,$193.66,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
47,15,9,SKU-100046,Ласощі,100,Єврейський князь суглоб товар брову монета голубчик аналіз звільнити брову подвірʼя вчений образа червень.,$216.45,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
48,7,37,SKU-100047,Рис,2000,Ліловий пастух поява ефект міф правий дрімати.,$74.96,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
49,16,8,SKU-100048,Відбілювач для кольорового,2000,Діставати танцювати що-небудь при затримати перед відповісти провінція міра.,$113.31,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
50,15,,SKU-100049,Корм вологий,100,Другий мотоцикл єврейський монета відповідність інший редактор космос пробувати ґазда.,$213.69,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
51,21,17,SKU-100050,Вермут,330,Єврейський близько потім теорія більше гіркий висловлюватися прем'єра навряд тривога незвичний ягода ґазда.,$246.98,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
52,10,34,SKU-100051,Цукерки,80,Податковий художній щастя вперед метелик зрозумілий висіти легко вечір незручно єдиний.,$245.35,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
53,19,35,SKU-100052,Ручка,100,Висіти направо прошепотіти робочий світило новий прошепотіти байдужий їсти господиня дихання.,$224.42,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
54,21,8,SKU-100053,Вермут напівсолодке,330,Ліхтарик ідея означати новий нині холодно можливо колектив спорт палиця благати шкіра.,$159.50,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
55,23,20,SKU-100054,Вітамін C м'яка дія,10,Приятель насолода похорон безглуздий нині очко іспит спорт трясти.,$55.18,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
110,7,12,SKU-100109,Вівсянка,400,Струмок гіркий матерія тута інструкція сміятися сміятися господь.,$11.05,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
56,23,12,SKU-100055,Пластир,100,Лапа щастя сонце монета дошлий квапливий здригнутися каюта один услати адвокат ремінь ідея ефект що.,$166.85,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
57,4,4,SKU-100056,Сосиски,500,Гіркий набір казна-хто правління заспівати будівництво байдужий кишеня.,$20.47,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
58,23,32,SKU-100057,Вітамін C,200,Наступати правління байдужий єврейський ремінь пристрій порівняння затягнутися падати засунути яскраво вивчити голубчик уточнити адже.,$149.25,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
59,16,24,SKU-100058,Відбілювач,1000,Кишеня військовий прелесть картинка пробувати щур розуміти закласти вчений інструкція склянка олівець.,$26.73,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
60,22,20,SKU-100059,Пиво 0.0 зі смаком світле,330,Єдиний аналіз несподівано зате струмок чітко кора решітка співрозмовник доба.,$151.87,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
61,15,29,SKU-100060,Ласощі економ,400,Скинути намір картинка потягнутися райком правління художній.,$227.55,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
62,7,17,SKU-100061,Гречка,400,Правильний упор міф вітрина метал близько набір ліловий вивести.,$218.51,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
63,7,7,SKU-100062,Пшоно преміум,900,Робочий хліб художній гроші приходити безглуздий подвірʼя.,$106.99,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
64,21,32,SKU-100063,Вермут класичне,500,Мотоцикл який нога процес покинути що пастух небезпека камінчик затримати безглуздий.,$166.37,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
65,12,22,SKU-100064,Огірки,500,Новий підкинути функція полюбити вивести покидати керівник легко.,$229.37,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
66,10,30,SKU-100065,Вафлі економ,100,Нарада інтернет мета порада наштовхнутися салон картинка черговий порода зарплата вітрина натиснути господь військовий.,$122.36,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
67,22,,SKU-100066,Пиво безалкогольне світле світле,330,Черговий незвичайний купа неправда вивести інтернет передо солома зелений виблискувати упор вигнати банк їжа сумний результат.,$232.32,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
68,2,25,SKU-100067,Чай зелений класичний,250,Гіркий звільнити покинути затягнутися камінчик встати розвернутися мати сходити монета.,$206.71,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
69,22,3,SKU-100068,Пиво 0.0 пшеничне класичне,500,Вітрина присісти бочок збільшуватися вмирати триста похорон роса.,$85.44,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
70,17,37,SKU-100069,Шампунь,100,Дорогий теорія деякий палиця міркування метал шкільний тютюн.,$43.97,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
71,8,,SKU-100070,Олія соняшникова економ,750,Район підкинути брову призначити білизна ліворуч бригада медицина упор промовчати при товар нервово виникнення.,$163.42,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
72,2,16,SKU-100071,Чай чорний міцний,100,Диявол ніж демократія теорія постійний щось рис чоловічок іспит трубка недолік.,$139.98,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
73,9,6,SKU-100072,Горішки преміум,150,Епоха розстебнути вивчити житель здалеку черговий купа.,$249.36,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
74,18,37,SKU-100073,Серветки,600,Пристрасть можливо програміст бак легко червʼяк господь бетонний червʼяк виконувати пристрій польовий салон квапливий сміття рішення.,$189.17,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
75,17,31,SKU-100074,Мило ароматизований,500,Рота дихання супроводжуватися від'їзд що-небудь розвернутися квапливий іспит сміття розводити полум'я полум'я.,$223.40,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
76,2,11,SKU-100075,Чай зелений,250,Хотіти медицина єдиний яблуко медицина ніч домогтися розвернутися купа мета навіщо дальній квапливий правий потягнутися.,$145.35,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
77,1,21,SKU-100076,Сік яблучний,1000,Байдужий художній основа порт інфекція порада промовчати радість навіщо й можливо адже заплакати покоління триста бетонний.,$23.31,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
78,6,35,SKU-100077,Печиво здобне,400,Блискучий пристрій розуміти хід неправда червень потягнутися монета розвернутися банда зрідка передо трубка знімати полум'я прохід.,$117.58,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
79,16,,SKU-100078,Засіб для посуду для білого,450,Самостійно дрібниця інтернет незвичайний висіти другий господь самостійно неправда застосовуватися приходити.,$191.91,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
80,10,,SKU-100079,Вафлі економ,500,Угодний груди радість податковий холодно бригада черговий пристрій.,$106.32,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
81,5,22,SKU-100080,Креветки,400,Промовчати зате штаб подробиця через що-небудь натиснути співати жити червень при потрясти зрозумілий відповісти ідея.,$211.74,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
82,3,9,SKU-100081,Кефір,500,Відділ нервово підлога художній увійти аж вскакивать провінція радість другий заява.,$202.21,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
111,21,30,SKU-100110,Пиво темне витримане,330,Колектив купа-невеличка тривога князь подвірʼя присісти штаб.,$84.74,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
83,3,5,SKU-100082,Йогурт натуральний,400,Головка подвірʼя повністю тисяча купа-невеличка засунути матерія прем'єра в'язниця низький чітко палата летіти спалити гіркий.,$175.66,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
84,4,1,SKU-100083,Ковбаса варена,1000,Фахівець терапія лягати голубчик заява прощення командувач даль командування військовий темніти результат ягода.,$63.23,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
85,4,28,SKU-100084,Паштет,300,Дрібниця адвокат наступати серйозний господь художній залучати груди означати байдужий постійний адже будівництво похорон лівий.,$24.00,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
86,16,2,SKU-100085,Гель для прання для білого,750,Виднітися князь підлога а тьмяний звільнення їсти дошлий увійти застосовуватися поріг ланцюжок присвятити аж хлопець незвичайний.,$126.40,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
87,12,7,SKU-100086,Яблука,1500,Дошлий пристрій похорон похмуро вперед байдужий блискучий виражений податковий похмуро здригатися настати знищення.,$50.40,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
88,20,,SKU-100087,Губка,150,Розкішний досліджено спорт свіжий салон вітати розвернутися провал затягнутися вигнати відділ.,$129.96,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
89,4,18,SKU-100088,Сосиски,500,Білизна висіти близько потім валюта дрімати ліворуч сумнівний угодний будівництво.,$81.00,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
90,17,26,SKU-100089,Шампунь,250,Бочок казна-хто конструкція намір подробиця художній райком адже шкіра бажання отже.,$51.36,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
91,20,26,SKU-100090,Пакети для сміття,50,Порода о діставати аналіз медицина звільнити торгівля пані паща кпсс конструкція уточнити плід плід звільнення покидати.,$170.36,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
92,19,,SKU-100091,Зошит преміум,20,Дошлий потягнутися неправда казна-хто вскакивать чітко поставити.,$55.32,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
93,4,17,SKU-100092,Сосиски,500,Їжа зміна вказаний самостійно єврейський ефект розводити космос правий зрозумілий казна-хто.,$110.39,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
94,3,6,SKU-100093,Йогурт,900,Й мʼята зображати друкувати здригнутися мить наступати несподівано терапія результат головка лягати аналіз неправда упустити факультет.,$150.54,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
95,16,8,SKU-100094,Пральний порошок,750,Струмок вітати друкувати заробити відповідність вивести запустити податковий відзначити художній мимо доба головка.,$19.76,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
96,12,1,SKU-100095,Огірки свіжі,500,Зловити дорогий покинути нарада князь решітка виражений аналіз.,$166.12,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
97,18,,SKU-100096,Туалетний папір преміум,300,Гроші розуміти пастух навіщо приятель командування число загроза.,$194.07,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
98,22,26,SKU-100097,Пиво безалкогольне темне,500,Чотири палата ліворуч зрідка наполегливо струмок правильний брову коваль хліб заробити червʼяк місце.,$181.89,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
99,20,3,SKU-100098,Плівка харчова,150,Навіщо виблискувати супроводжуватися співати співати отже дорогий вираз гідність інтернет мимо дихання покинути.,$76.47,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
100,14,5,SKU-100099,Пюре овочеве преміум,200,Палець ковзати чітко палець зміна жорстокий викинути валюта.,$26.38,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
101,10,6,SKU-100100,Мармелад економ,300,Шкільний єдиний прощення художній диявол здригнутися дружно знімати рідкий вивчити щастя друкувати інший.,$42.52,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
102,9,39,SKU-100101,Крекери економ,150,Приятель аналіз аж прошепотіти ліловий нога чітко міф.,$78.36,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
103,13,19,SKU-100102,Томати у власному соку,400,Кільце склянка видимо сміятися банк покоління правління зима метал будівництво пропадати звільнення місце здригатися світило.,$11.54,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
104,23,31,SKU-100103,Парацетамол,100,Інтелектуальний чітко купа-невеличка їжа дівка закласти від'їзд виднітися здригнутися мати дошлий монета.,$153.19,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
105,11,19,SKU-100104,Вареники,900,Сумнівний зрідка червень адвокат пити адже незвичний передо один перебивати роса вечір військовий простір видимо.,$48.60,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
106,25,15,SKU-100105,Скотч,50,Вперед кільце комунізм камінчик витримати хата холодно мʼята несподіваний й легко почуття зловити.,$81.73,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
107,25,35,SKU-100106,Гумові рукавички,300,Боєць безглуздий вчений повністю покинути мимо щастя радити мʼята самостійно господь секунда.,$137.55,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
108,5,14,SKU-100107,Креветки,400,Розгубитися сміливий повністю ліхтарик тута трубка купа падати ніж рис відповідність.,$243.69,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
109,10,,SKU-100108,Печиво,80,Танцювати різноманітний поява темніти господь мета вперед функція факультет господь виражений червень вперед банда.,$8.10,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
112,21,39,SKU-100111,Сидр напівсолодке,500,Ставити епоха юний затримати незвичайний основа насолода хлопець жити.,$64.24,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
113,15,28,SKU-100112,Наповнювач,400,Яскраво кут спасти космос ґудзик палець космос покинути летіти пастух фахівець вигнати бігати потягнутися.,$85.70,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
114,16,17,SKU-100113,Засіб для посуду,2000,Заспокоїтися роса болото зображати секунда пристрій гараж кпсс зарплата гуляти блискучий діставати збудження художній.,$233.89,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
115,7,36,SKU-100114,Рис,1000,Світило коробка холодно трубка здалеку промовчати інфекція мʼята пробувати байдужий шкіра сонце встати прохід.,$17.41,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
116,10,25,SKU-100115,Мармелад натуральний,500,Пісня другий інший століття чітко свіжий раніше ліхтарик шкільний ніч робочий встати.,$191.91,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
117,11,11,SKU-100116,Вареники,900,Дорогий пити єврейський заклик дорогий небезпека розгубитися правий правління занадто мить.,$50.11,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
118,11,18,SKU-100117,Овочі заморожені,450,Правління рота провал струмок іспит вигнати банда дрібниця діловий жорстокий.,$68.95,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
119,4,24,SKU-100118,Ковбаса копчена преміум,200,Співрозмовник більше склянка художній сміливий пристрасть заспокоїтися мʼята.,$135.66,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
120,6,37,SKU-100119,Печиво здобне натуральний,400,Чоловічок виблискувати висіти медицина ґаздиня заборонити деякий роса присісти польовий команда досліджено танцювати.,$51.94,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
121,11,5,SKU-100120,Вареники,300,Купа-Невеличка летіти провал сходити розгубитися заклик здригнутися.,$72.22,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
122,7,,SKU-100121,Пшоно,400,Інший порада насолода груди терапія слати кордон виникнення застосовуватися заспокоїтися комунізм мільярд фахівець.,$168.93,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
123,1,38,SKU-100122,Сік яблучний,1000,Єврейський лапа прірва холодно несподівано дружно похорон товар століття ягода заклик ідея.,$220.69,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
124,2,22,SKU-100123,Кава мелена класичний,100,Чітко вечір тисяча щур вказаний виражений хліб.,$195.44,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
125,1,38,SKU-100124,Енергетик без цукру,2000,Співрозмовник покинути вигнати упор домогтися кидати мета монета робочий натиснути функція о пристойний полум'я.,$61.53,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
126,1,12,SKU-100125,Вода мінеральна,330,Потрясти промовчати інвалід їсти вперед коваль командир метал.,$71.47,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
