order_id,supplier_id,facility_id,status,total_amount,added_at,note
43,50,38,received,"$4,388,836.00",2025-12-04 19:36:09.061815 +00:00,закупка 2025-12-04
44,41,6,shipped,"$1,703,680.00",2025-11-09 19:36:09.061815 +00:00,закупка 2025-11-09
45,37,30,shipped,"$4,692,576.00",2025-11-19 19:36:09.061815 +00:00,закупка 2025-11-19
46,2,37,processing_by_supplier,"$1,739,555.00",2025-11-22 19:36:09.061815 +00:00,закупка 2025-11-22
47,40,4,received,"$6,567,813.00",2025-12-11 19:36:09.061815 +00:00,закупка 2025-12-11
48,16,11,received,"$1,108,336.00",2025-11-12 19:36:09.061815 +00:00,закупка 2025-11-12
49,45,16,shipped,"$1,913,872.00",2025-11-20 19:36:09.061815 +00:00,закупка 2025-11-20
50,36,28,received,"$4,069,673.00",2025-11-26 19:36:09.061815 +00:00,закупка 2025-11-26
51,18,30,processing_by_supplier,"$6,812,734.00",2025-10-26 19:36:09.061815 +00:00,закупка 2025-10-26
52,3,10,received,"$8,504,220.00",2025-10-20 19:36:09.061815 +00:00,закупка 2025-10-20
53,48,39,shipped,"$2,799,662.00",2025-11-06 19:36:09.061815 +00:00,закупка 2025-11-06
54,38,23,processing_by_supplier,"$5,158,537.00",2025-11-16 19:36:09.061815 +00:00,закупка 2025-11-16
55,6,19,processing_by_supplier,"$3,231,181.00",2025-10-19 19:36:09.061815 +00:00,закупка 2025-10-19
56,1,8,shipped,"$2,485,465.00",2025-10-19 19:36:09.061815 +00:00,закупка 2025-10-19
57,4,1,processing_by_supplier,"$1,604,748.00",2025-11-02 19:36:09.061815 +00:00,закупка 2025-11-02
58,10,3,shipped,"$5,143,192.00",2025-10-20 19:36:09.061815 +00:00,закупка 2025-10-20
59,3,19,processing_by_supplier,"$1,277,138.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
60,46,31,shipped,"$2,579,350.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
61,46,12,shipped,"$3,109,022.00",2025-11-24 19:36:09.061815 +00:00,закупка 2025-11-24
62,8,22,received,"$7,068,984.00",2025-11-04 19:36:09.061815 +00:00,закупка 2025-11-04
63,4,14,processing_by_supplier,"$3,213,498.00",2025-11-24 19:36:09.061815 +00:00,закупка 2025-11-24
64,19,23,shipped,"$6,631,695.00",2025-11-03 19:36:09.061815 +00:00,закупка 2025-11-03
65,21,29,processing_by_supplier,"$961,040.00",2025-10-28 19:36:09.061815 +00:00,закупка 2025-10-28
66,2,36,shipped,"$2,316,232.00",2025-10-27 19:36:09.061815 +00:00,закупка 2025-10-27
67,50,15,shipped,"$4,513,908.00",2025-12-11 19:36:09.061815 +00:00,закупка 2025-12-11
68,30,12,shipped,"$5,842,819.00",2025-10-23 19:36:09.061815 +00:00,закупка 2025-10-23
69,38,14,shipped,"$3,977,877.00",2025-10-20 19:36:09.061815 +00:00,закупка 2025-10-20
70,23,9,received,"$6,645,380.00",2025-11-29 19:36:09.061815 +00:00,закупка 2025-11-29
71,26,17,processing_by_supplier,"$5,168,541.00",2025-11-27 19:36:09.061815 +00:00,закупка 2025-11-27
72,50,9,shipped,"$4,434,477.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
73,12,39,received,"$3,195,089.00",2025-11-26 19:36:09.061815 +00:00,закупка 2025-11-26
74,15,25,processing_by_supplier,"$755,973.00",2025-11-23 19:36:09.061815 +00:00,закупка 2025-11-23
75,28,3,shipped,"$3,422,019.00",2025-11-16 19:36:09.061815 +00:00,закупка 2025-11-16
76,34,30,shipped,"$4,436,420.00",2025-12-06 19:36:09.061815 +00:00,закупка 2025-12-06
77,3,16,received,"$850,138.00",2025-11-11 19:36:09.061815 +00:00,закупка 2025-11-11
78,10,17,processing_by_supplier,"$3,163,828.00",2025-12-13 19:36:09.061815 +00:00,закупка 2025-12-13
79,16,15,received,"$1,173,276.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
80,29,10,processing_by_supplier,"$4,348,172.00",2025-11-30 19:36:09.061815 +00:00,закупка 2025-11-30
81,37,36,processing_by_supplier,"$2,697,070.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
82,39,29,shipped,"$2,672,828.00",2025-11-22 19:36:09.061815 +00:00,закупка 2025-11-22
83,15,6,processing_by_supplier,"$5,119,549.00",2025-11-29 19:36:09.061815 +00:00,закупка 2025-11-29
84,20,40,shipped,"$1,323,930.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
85,39,32,shipped,"$3,240,825.00",2025-12-11 19:36:09.061815 +00:00,закупка 2025-12-11
86,8,11,received,"$860,250.00",2025-11-10 19:36:09.061815 +00:00,закупка 2025-11-10
87,3,7,processing_by_supplier,"$4,568,275.00",2025-10-18 19:36:09.061815 +00:00,закупка 2025-10-18
88,47,27,processing_by_supplier,"$3,308,763.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
89,40,11,shipped,"$1,239,887.00",2025-11-12 19:36:09.061815 +00:00,закупка 2025-11-12
90,9,22,received,"$806,184.00",2025-12-10 19:36:09.061815 +00:00,закупка 2025-12-10
91,9,1,processing_by_supplier,"$2,597,274.00",2025-11-20 19:36:09.061815 +00:00,закупка 2025-11-20
92,37,1,received,"$2,154,514.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
93,35,24,shipped,"$3,433,265.00",2025-11-26 19:36:09.061815 +00:00,закупка 2025-11-26
94,33,28,shipped,"$1,549,148.00",2025-10-29 19:36:09.061815 +00:00,закупка 2025-10-29
95,15,4,shipped,"$3,233,251.00",2025-11-21 19:36:09.061815 +00:00,закупка 2025-11-21
96,50,18,shipped,"$5,441,729.00",2025-10-15 19:36:09.061815 +00:00,закупка 2025-10-15
97,7,22,processing_by_supplier,"$2,260,819.00",2025-11-30 19:36:09.061815 +00:00,закупка 2025-11-30
98,36,2,processing_by_supplier,"$4,302,531.00",2025-11-12 19:36:09.061815 +00:00,закупка 2025-11-12
99,13,7,processing_by_supplier,"$3,320,427.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
100,32,38,received,"$1,597,866.00",2025-10-14 19:36:09.061815 +00:00,закупка 2025-10-14
101,6,25,shipped,"$852,661.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
102,39,26,received,"$2,856,666.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
103,21,2,shipped,"$6,833,252.00",2025-11-06 19:36:09.061815 +00:00,закупка 2025-11-06
104,15,2,shipped,"$4,317,228.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
105,16,29,received,"$4,286,986.00",2025-12-05 19:36:09.061815 +00:00,закупка 2025-12-05
106,28,11,shipped,"$1,516,456.00",2025-11-27 19:36:09.061815 +00:00,закупка 2025-11-27
107,30,13,shipped,"$6,324,915.00",2025-10-21 19:36:09.061815 +00:00,закупка 2025-10-21
108,50,29,processing_by_supplier,"$6,315,492.00",2025-10-15 19:36:09.061815 +00:00,закупка 2025-10-15
109,25,12,received,"$1,703,348.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
110,25,3,received,"$1,374,282.00",2025-11-07 19:36:09.061815 +00:00,закупка 2025-11-07
111,5,40,processing_by_supplier,"$2,947,340.00",2025-11-22 19:36:09.061815 +00:00,закупка 2025-11-22
112,2,22,processing_by_supplier,"$1,803,393.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
113,24,15,processing_by_supplier,"$4,548,323.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
114,6,7,shipped,"$3,914,945.00",2025-11-19 19:36:09.061815 +00:00,закупка 2025-11-19
115,10,29,received,"$3,636,756.00",2025-11-21 19:36:09.061815 +00:00,закупка 2025-11-21
116,5,24,received,"$6,236,229.00",2025-11-03 19:36:09.061815 +00:00,закупка 2025-11-03
117,31,32,processing_by_supplier,"$5,849,768.00",2025-12-08 19:36:09.061815 +00:00,закупка 2025-12-08
118,48,19,received,"$7,652,912.00",2025-11-15 19:36:09.061815 +00:00,закупка 2025-11-15
119,25,2,received,"$667,362.00",2025-11-30 19:36:09.061815 +00:00,закупка 2025-11-30
120,16,23,shipped,"$2,151,731.00",2025-12-05 19:36:09.061815 +00:00,закупка 2025-12-05
121,7,31,received,"$5,498,240.00",2025-10-15 19:36:09.061815 +00:00,закупка 2025-10-15
122,18,18,processing_by_supplier,"$925,443.00",2025-10-26 19:36:09.061815 +00:00,закупка 2025-10-26
123,28,7,received,"$2,935,026.00",2025-10-26 19:36:09.061815 +00:00,закупка 2025-10-26
124,24,15,processing_by_supplier,"$3,549,493.00",2025-12-01 19:36:09.061815 +00:00,закупка 2025-12-01
125,1,39,shipped,"$7,343,849.00",2025-12-08 19:36:09.061815 +00:00,закупка 2025-12-08
126,14,20,shipped,"$3,661,427.00",2025-12-06 19:36:09.061815 +00:00,закупка 2025-12-06
127,28,39,received,"$4,471,084.00",2025-12-12 19:36:09.061815 +00:00,закупка 2025-12-12
128,48,11,received,"$3,144,166.00",2025-10-24 19:36:09.061815 +00:00,закупка 2025-10-24
129,1,38,received,"$677,677.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
130,21,36,shipped,"$2,651,351.00",2025-11-06 19:36:09.061815 +00:00,закупка 2025-11-06
131,23,12,received,"$1,112,500.00",2025-10-29 19:36:09.061815 +00:00,закупка 2025-10-29
132,32,32,shipped,"$2,988,744.00",2025-11-07 19:36:09.061815 +00:00,закупка 2025-11-07
133,16,24,processing_by_supplier,"$6,354,980.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
134,31,5,processing_by_supplier,"$3,406,438.00",2025-12-10 19:36:09.061815 +00:00,закупка 2025-12-10
135,14,26,shipped,"$4,197,017.00",2025-12-12 19:36:09.061815 +00:00,закупка 2025-12-12
136,17,35,received,"$924,609.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
137,3,6,processing_by_supplier,"$7,339,186.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
138,45,24,received,"$389,350.00",2025-11-15 19:36:09.061815 +00:00,закупка 2025-11-15
139,29,34,shipped,"$823,187.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
140,20,38,received,"$685,980.00",2025-10-14 19:36:09.061815 +00:00,закупка 2025-10-14
141,10,25,processing_by_supplier,"$1,411,326.00",2025-12-06 19:36:09.061815 +00:00,закупка 2025-12-06
142,15,10,shipped,"$1,907,115.00",2025-12-13 19:36:09.061815 +00:00,закупка 2025-12-13
143,41,34,shipped,"$6,606,360.00",2025-11-27 19:36:09.061815 +00:00,закупка 2025-11-27
144,6,8,shipped,"$4,008,866.00",2025-11-27 19:36:09.061815 +00:00,закупка 2025-11-27
145,50,5,shipped,"$5,481,573.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
146,30,28,received,"$4,211,661.00",2025-11-24 19:36:09.061815 +00:00,закупка 2025-11-24
147,22,32,received,"$2,749,803.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
148,44,6,processing_by_supplier,"$3,746,270.00",2025-10-22 19:36:09.061815 +00:00,закупка 2025-10-22
149,14,7,received,"$4,283,375.00",2025-11-06 19:36:09.061815 +00:00,закупка 2025-11-06
150,6,38,received,"$1,540,508.00",2025-12-11 19:36:09.061815 +00:00,закупка 2025-12-11
151,16,2,processing_by_supplier,"$3,689,164.00",2025-11-23 19:36:09.061815 +00:00,закупка 2025-11-23
152,17,33,shipped,"$720,439.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
153,11,13,shipped,"$2,480,185.00",2025-11-03 19:36:09.061815 +00:00,закупка 2025-11-03
154,2,27,shipped,"$2,388,240.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
155,47,34,shipped,"$5,286,121.00",2025-11-06 19:36:09.061815 +00:00,закупка 2025-11-06
156,46,40,received,"$1,581,279.00",2025-12-12 19:36:09.061815 +00:00,закупка 2025-12-12
157,39,7,processing_by_supplier,"$1,521,427.00",2025-11-23 19:36:09.061815 +00:00,закупка 2025-11-23
158,39,26,received,"$4,873,512.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
159,17,4,shipped,"$1,106,971.00",2025-12-05 19:36:09.061815 +00:00,закупка 2025-12-05
160,18,25,shipped,"$3,729,009.00",2025-12-11 19:36:09.061815 +00:00,закупка 2025-12-11
161,31,23,received,"$2,358,847.00",2025-12-06 19:36:09.061815 +00:00,закупка 2025-12-06
162,14,21,shipped,"$1,849,365.00",2025-11-16 19:36:09.061815 +00:00,закупка 2025-11-16
163,35,36,shipped,"$4,270,119.00",2025-10-18 19:36:09.061815 +00:00,закупка 2025-10-18
164,26,23,received,"$1,191,202.00",2025-11-15 19:36:09.061815 +00:00,закупка 2025-11-15
165,34,6,processing_by_supplier,"$2,268,244.00",2025-12-08 19:36:09.061815 +00:00,закупка 2025-12-08
166,26,35,processing_by_supplier,"$646,540.00",2025-12-09 19:36:09.061815 +00:00,закупка 2025-12-09
167,29,24,received,"$2,120,539.00",2025-11-11 19:36:09.061815 +00:00,закупка 2025-11-11
168,12,6,processing_by_supplier,"$1,532,715.00",2025-10-14 19:36:09.061815 +00:00,закупка 2025-10-14
169,12,2,processing_by_supplier,"$2,757,859.00",2025-11-22 19:36:09.061815 +00:00,закупка 2025-11-22
170,10,2,shipped,"$888,001.00",2025-10-21 19:36:09.061815 +00:00,закупка 2025-10-21
171,24,23,received,"$4,854,617.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
172,35,18,shipped,"$2,086,224.00",2025-10-16 19:36:09.061815 +00:00,закупка 2025-10-16
173,7,23,shipped,"$3,609,594.00",2025-11-03 19:36:09.061815 +00:00,закупка 2025-11-03
174,15,32,processing_by_supplier,"$3,345,741.00",2025-11-29 19:36:09.061815 +00:00,закупка 2025-11-29
175,42,1,shipped,"$4,295,872.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
176,5,15,received,"$761,629.00",2025-10-28 19:36:09.061815 +00:00,закупка 2025-10-28
177,11,30,processing_by_supplier,"$4,909,821.00",2025-12-03 19:36:09.061815 +00:00,закупка 2025-12-03
178,3,6,processing_by_supplier,"$4,833,589.00",2025-10-17 19:36:09.061815 +00:00,закупка 2025-10-17
179,5,8,shipped,"$2,237,497.00",2025-10-27 19:36:09.061815 +00:00,закупка 2025-10-27
180,14,32,received,"$518,144.00",2025-10-17 19:36:09.061815 +00:00,закупка 2025-10-17
181,46,11,processing_by_supplier,"$3,256,295.00",2025-11-15 19:36:09.061815 +00:00,закупка 2025-11-15
182,28,25,shipped,"$858,181.00",2025-10-25 19:36:09.061815 +00:00,закупка 2025-10-25
183,36,5,shipped,"$1,282,840.00",2025-11-20 19:36:09.061815 +00:00,закупка 2025-11-20
184,21,17,processing_by_supplier,"$5,072,725.00",2025-12-01 19:36:09.061815 +00:00,закупка 2025-12-01
185,9,2,processing_by_supplier,"$3,702,202.00",2025-10-25 19:36:09.061815 +00:00,закупка 2025-10-25
186,4,8,shipped,"$958,327.00",2025-10-27 19:36:09.061815 +00:00,закупка 2025-10-27
187,7,15,shipped,"$2,724,095.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
188,42,34,processing_by_supplier,"$1,314,547.00",2025-10-20 19:36:09.061815 +00:00,закупка 2025-10-20
189,47,30,shipped,"$2,014,149.00",2025-12-09 19:36:09.061815 +00:00,закупка 2025-12-09
190,49,33,shipped,"$4,326,477.00",2025-11-24 19:36:09.061815 +00:00,закупка 2025-11-24
191,48,36,shipped,"$5,774,955.00",2025-11-19 19:36:09.061815 +00:00,закупка 2025-11-19
192,44,28,processing_by_supplier,"$4,341,810.00",2025-10-15 19:36:09.061815 +00:00,закупка 2025-10-15
193,47,31,received,"$3,191,326.00",2025-12-01 19:36:09.061815 +00:00,закупка 2025-12-01
194,27,20,received,"$911,207.00",2025-11-29 19:36:09.061815 +00:00,закупка 2025-11-29
195,28,29,received,"$5,455,461.00",2025-11-04 19:36:09.061815 +00:00,закупка 2025-11-04
196,18,7,shipped,"$4,498,772.00",2025-11-16 19:36:09.061815 +00:00,закупка 2025-11-16
197,14,20,processing_by_supplier,"$4,111,770.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
198,9,3,shipped,"$4,174,116.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
199,40,1,received,"$4,609,355.00",2025-10-19 19:36:09.061815 +00:00,закупка 2025-10-19
200,34,12,processing_by_supplier,"$4,727,671.00",2025-12-07 19:36:09.061815 +00:00,закупка 2025-12-07
201,9,13,shipped,"$6,515,887.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
202,12,39,shipped,"$4,278,427.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
203,13,8,processing_by_supplier,"$924,043.00",2025-11-01 19:36:09.061815 +00:00,закупка 2025-11-01
204,37,26,shipped,"$1,259,400.00",2025-10-29 19:36:09.061815 +00:00,закупка 2025-10-29
205,35,21,processing_by_supplier,"$1,384,558.00",2025-11-20 19:36:09.061815 +00:00,закупка 2025-11-20
206,48,39,received,"$1,864,687.00",2025-12-06 19:36:09.061815 +00:00,закупка 2025-12-06
207,27,12,shipped,"$5,905,305.00",2025-11-23 19:36:09.061815 +00:00,закупка 2025-11-23
208,28,2,received,"$4,486,533.00",2025-11-26 19:36:09.061815 +00:00,закупка 2025-11-26
209,21,28,shipped,"$4,324,006.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
210,48,9,shipped,"$1,005,467.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
211,6,37,shipped,"$1,333,847.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
212,21,24,received,"$4,479,923.00",2025-10-16 19:36:09.061815 +00:00,закупка 2025-10-16
213,11,35,received,"$5,235,991.00",2025-10-20 19:36:09.061815 +00:00,закупка 2025-10-20
214,6,27,shipped,"$1,752,179.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
215,40,36,shipped,"$6,379,048.00",2025-11-04 19:36:09.061815 +00:00,закупка 2025-11-04
216,29,6,processing_by_supplier,"$1,052,347.00",2025-11-10 19:36:09.061815 +00:00,закупка 2025-11-10
217,21,17,shipped,"$1,926,156.00",2025-11-15 19:36:09.061815 +00:00,закупка 2025-11-15
218,48,9,received,"$3,666,677.00",2025-10-27 19:36:09.061815 +00:00,закупка 2025-10-27
219,27,38,processing_by_supplier,"$3,334,392.00",2025-12-03 19:36:09.061815 +00:00,закупка 2025-12-03
220,36,31,processing_by_supplier,"$6,959,034.00",2025-11-10 19:36:09.061815 +00:00,закупка 2025-11-10
221,31,26,processing_by_supplier,"$4,598,122.00",2025-10-29 19:36:09.061815 +00:00,закупка 2025-10-29
222,10,28,received,"$315,210.00",2025-12-04 19:36:09.061815 +00:00,закупка 2025-12-04
223,31,5,shipped,"$1,523,863.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
224,33,40,received,"$4,278,517.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
225,15,16,processing_by_supplier,"$7,931,345.00",2025-11-07 19:36:09.061815 +00:00,закупка 2025-11-07
226,45,34,shipped,"$3,502,035.00",2025-11-14 19:36:09.061815 +00:00,закупка 2025-11-14
227,7,20,received,"$4,845,107.00",2025-11-17 19:36:09.061815 +00:00,закупка 2025-11-17
228,2,30,received,"$2,151,022.00",2025-11-17 19:36:09.061815 +00:00,закупка 2025-11-17
229,18,17,shipped,"$2,612,325.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
230,44,6,processing_by_supplier,"$941,361.00",2025-11-14 19:36:09.061815 +00:00,закупка 2025-11-14
231,6,4,received,"$3,858,412.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
232,32,11,shipped,"$1,638,438.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
233,11,12,shipped,"$640,290.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
234,35,33,processing_by_supplier,"$5,175,872.00",2025-10-21 19:36:09.061815 +00:00,закупка 2025-10-21
235,15,32,shipped,"$1,165,211.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
236,39,40,processing_by_supplier,"$4,339,514.00",2025-11-23 19:36:09.061815 +00:00,закупка 2025-11-23
237,13,24,processing_by_supplier,"$1,402,148.00",2025-11-30 19:36:09.061815 +00:00,закупка 2025-11-30
238,15,16,processing_by_supplier,"$2,777,863.00",2025-11-05 19:36:09.061815 +00:00,закупка 2025-11-05
239,28,14,shipped,"$4,330,317.00",2025-10-18 19:36:09.061815 +00:00,закупка 2025-10-18
240,34,24,processing_by_supplier,"$2,605,140.00",2025-12-03 19:36:09.061815 +00:00,закупка 2025-12-03
241,44,27,received,"$3,575,823.00",2025-12-07 19:36:09.061815 +00:00,закупка 2025-12-07
242,12,39,processing_by_supplier,"$333,118.00",2025-10-19 19:36:09.061815 +00:00,закупка 2025-10-19
243,45,33,shipped,"$1,811,970.00",2025-10-25 19:36:09.061815 +00:00,закупка 2025-10-25
244,13,29,processing_by_supplier,"$5,235,358.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
245,50,14,shipped,"$3,654,162.00",2025-11-07 19:36:09.061815 +00:00,закупка 2025-11-07
246,35,19,received,"$5,804,279.00",2025-11-21 19:36:09.061815 +00:00,закупка 2025-11-21
247,31,27,processing_by_supplier,"$3,121,003.00",2025-10-20 19:36:09.061815 +00:00,закупка 2025-10-20
248,35,14,processing_by_supplier,"$4,047,970.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
249,31,32,received,"$1,312,571.00",2025-11-04 19:36:09.061815 +00:00,закупка 2025-11-04
250,48,27,received,"$4,297,152.00",2025-10-19 19:36:09.061815 +00:00,закупка 2025-10-19
251,49,3,shipped,"$3,399,285.00",2025-11-07 19:36:09.061815 +00:00,закупка 2025-11-07
252,46,27,shipped,"$3,151,840.00",2025-11-05 19:36:09.061815 +00:00,закупка 2025-11-05
253,47,9,shipped,"$4,345,095.00",2025-11-20 19:36:09.061815 +00:00,закупка 2025-11-20
254,1,26,received,"$5,593,781.00",2025-12-03 19:36:09.061815 +00:00,закупка 2025-12-03
255,15,19,shipped,"$6,661,652.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
256,12,24,received,"$5,105,754.00",2025-10-24 19:36:09.061815 +00:00,закупка 2025-10-24
257,23,6,shipped,"$6,084,147.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
258,31,37,received,"$4,618,611.00",2025-11-17 19:36:09.061815 +00:00,закупка 2025-11-17
259,45,34,processing_by_supplier,"$4,639,912.00",2025-12-04 19:36:09.061815 +00:00,закупка 2025-12-04
260,13,38,processing_by_supplier,"$1,066,084.00",2025-11-10 19:36:09.061815 +00:00,закупка 2025-11-10
261,48,25,shipped,"$5,396,776.00",2025-11-09 19:36:09.061815 +00:00,закупка 2025-11-09
262,41,8,processing_by_supplier,"$4,018,087.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
263,50,2,received,"$3,224,642.00",2025-11-20 19:36:09.061815 +00:00,закупка 2025-11-20
264,30,12,shipped,"$1,530,544.00",2025-10-23 19:36:09.061815 +00:00,закупка 2025-10-23
